"val 0,0
","val 0,1
","val 0,2
","val 0,3
","val 0,4
"
"val 1,0
","val 1,1
","val 1,2
","val 1,3
","val 1,4
"
"val 2,0
","val 2,1
","val 2,2
","val 2,3
","val 2,4
"
"val 3,0
","val 3,1
","val 3,2
","val 3,3
","val 3,4
"
"val 4,0
","val 4,1
","val 4,2
","val 4,3
","val 4,4
"
"val 5,0
","val 5,1
","val 5,2
","val 5,3
","val 5,4
"
"val 6,0
","val 6,1
","val 6,2
","val 6,3
","val 6,4
"
"val 7,0
","val 7,1
","val 7,2
","val 7,3
","val 7,4
"
"val 8,0
","val 8,1
","val 8,2
","val 8,3
","val 8,4
"
"val 9,0
","val 9,1
","val 9,2
","val 9,3
","val 9,4
"
"val 10,0
","val 10,1
","val 10,2
","val 10,3
","val 10,4
"
"val 11,0
","val 11,1
","val 11,2
","val 11,3
","val 11,4
"
"val 12,0
","val 12,1
","val 12,2
","val 12,3
","val 12,4
"
"val 13,0
","val 13,1
","val 13,2
","val 13,3
","val 13,4
"
"val 14,0
","val 14,1
","val 14,2
","val 14,3
","val 14,4
"
"val 15,0
","val 15,1
","val 15,2
","val 15,3
","val 15,4
"
"val 16,0
","val 16,1
","val 16,2
","val 16,3
","val 16,4
"
"val 17,0
","val 17,1
","val 17,2
","val 17,3
","val 17,4
"
"val 18,0
","val 18,1
","val 18,2
","val 18,3
","val 18,4
"
"val 19,0
","val 19,1
","val 19,2
","val 19,3
","val 19,4
"
"val 20,0
","val 20,1
","val 20,2
","val 20,3
","val 20,4
"
"val 21,0
","val 21,1
","val 21,2
","val 21,3
","val 21,4
"
"val 22,0
","val 22,1
","val 22,2
","val 22,3
","val 22,4
"
"val 23,0
","val 23,1
","val 23,2
","val 23,3
","val 23,4
"
"val 24,0
","val 24,1
","val 24,2
","val 24,3
","val 24,4
"
"val 25,0
","val 25,1
","val 25,2
","val 25,3
","val 25,4
"
"val 26,0
","val 26,1
","val 26,2
","val 26,3
","val 26,4
"
"val 27,0
","val 27,1
","val 27,2
","val 27,3
","val 27,4
"
"val 28,0
","val 28,1
","val 28,2
","val 28,3
","val 28,4
"
"val 29,0
","val 29,1
","val 29,2
","val 29,3
","val 29,4
"
"val 30,0
","val 30,1
","val 30,2
","val 30,3
","val 30,4
"
"val 31,0
","val 31,1
","val 31,2
","val 31,3
","val 31,4
"
"val 32,0
","val 32,1
","val 32,2
","val 32,3
","val 32,4
"
"val 33,0
","val 33,1
","val 33,2
","val 33,3
","val 33,4
"
"val 34,0
","val 34,1
","val 34,2
","val 34,3
","val 34,4
"
"val 35,0
","val 35,1
","val 35,2
","val 35,3
","val 35,4
"
"val 36,0
","val 36,1
","val 36,2
","val 36,3
","val 36,4
"
"val 37,0
","val 37,1
","val 37,2
","val 37,3
","val 37,4
"
"val 38,0
","val 38,1
","val 38,2
","val 38,3
","val 38,4
"
"val 39,0
","val 39,1
","val 39,2
","val 39,3
","val 39,4
"
"val 40,0
","val 40,1
","val 40,2
","val 40,3
","val 40,4
"
"val 41,0
","val 41,1
","val 41,2
","val 41,3
","val 41,4
"
"val 42,0
","val 42,1
","val 42,2
","val 42,3
","val 42,4
"
"val 43,0
","val 43,1
","val 43,2
","val 43,3
","val 43,4
"
"val 44,0
","val 44,1
","val 44,2
","val 44,3
","val 44,4
"
"val 45,0
","val 45,1
","val 45,2
","val 45,3
","val 45,4
"
"val 46,0
","val 46,1
","val 46,2
","val 46,3
","val 46,4
"
"val 47,0
","val 47,1
","val 47,2
","val 47,3
","val 47,4
"
"val 48,0
","val 48,1
","val 48,2
","val 48,3
","val 48,4
"
